,RECIPE,RECIPE_LINK
67,ATTA VEGETABLE DOSA,https://food.ndtv.com/recipe-atta-vegetable-dosa-958308
68,ATTA VEGETABLE KHICHDI,https://food.ndtv.com/recipe-atta-vegetable-khichdi-958332
69,ATTE KA HALWA,https://food.ndtv.com/recipe-atte-ka-halwa-952282
70,ATTE KI PINNI,https://food.ndtv.com/recipe-atte-ki-pinni-898168
71,ATTHE MUTTON CURRY,https://food.ndtv.com/recipe-atthe-mutton-curry-956043
72,AUBERGINE AND GREEN CHILI SALAN,https://food.ndtv.com/recipe-aubergine-and-green-chili-salan-467579
73,AVIAL CURRY,https://food.ndtv.com/recipe-avial-curry-417846
74,AWADHI GOSHT KORMA,https://food.ndtv.com/recipe-awadhi-gosht-korma-953614
75,BABRU,https://food.ndtv.com/recipe-babru-98846
76,BADAAM KHEER,https://food.ndtv.com/recipe-badaam-kheer-219639
77,BADAAM KI BARFI,https://food.ndtv.com/recipe-badaam-ki-barfee-1-492590
78,BADAM AUR GULKAND KI KULFI,https://food.ndtv.com/recipe-badam-aur-gulkand-ki-kulfi-953479
79,BADAM KA HALWA,https://food.ndtv.com/recipe-badam-halwa-709621
80,BADAM KA KAHWA,https://food.ndtv.com/recipe-badam-ka-kahwa-952561
81,BADAM KI PHIRNI,https://food.ndtv.com/recipe-badam-ki-phirni-952498
82,BAGARA EGG MASALA,https://food.ndtv.com/recipe-bagara-egg-masala-955083
83,BAINGAN SAMBHAR,https://food.ndtv.com/recipe-baingan-sambhar-958369
84,BAJRA DOSA,https://food.ndtv.com/recipe-bajra-dosa-954946
85,BAJRA-METHI MISSI ROTI,https://food.ndtv.com/recipe-bajra-methi-missi-roti-952435
86,BAJRE KA THEPLA,https://food.ndtv.com/recipe-bajre-ka-thepla-219229
87,BAJRE KI ROTI/BHAKRI,https://food.ndtv.com/recipe-bajre-ki-roti-bhakri-98860
88,BAKED KARANJI (GUJIYA),https://food.ndtv.com/recipe-baked-karanji-374037
89,BAKED RAW BANANA SAMOSA,https://food.ndtv.com/recipe-baked-raw-banana-samosa-952370
90,BALUSHAHI,https://food.ndtv.com/recipe-balushahi-219651
91,BAMBOO BIRYANI,https://food.ndtv.com/recipe-bamboo-biryani-953676
92,BANANA APPAM,https://food.ndtv.com/recipe-banana-appam-958021
93,BANANA COCONUT IDLI,https://food.ndtv.com/recipe-banana-coconut-idli-954482
94,BANANA KHEER,https://food.ndtv.com/recipe-banana-kheer-958056
95,BANANA PHIRNI TARTLETS WITH FRESH STRAWBERRIES,https://food.ndtv.com/recipe-banana-phirni-tartlets-with-fresh-strawberries-952180
96,BAQARKHANI ROTI,https://food.ndtv.com/recipe-baqarkhani-roti-98862
97,BARBECUE FISH TIKKA,https://food.ndtv.com/recipe-barbecue-fish-tikka-98881
98,BARFI MODAK,https://food.ndtv.com/recipe-barfi-modak-952568
99,BARLEY AND MOONG DAL KHICHDI,https://food.ndtv.com/recipe-barley-and-moong-dal-khichdi-955058
100,BASANTI PULAO,https://food.ndtv.com/recipe-basanti-pulao-952744
101,BASUNDI,https://food.ndtv.com/recipe-basundi-1-466093
102,BATATA PATTICE,https://food.ndtv.com/recipe-batata-pattice-98958
103,BEBINCA,https://food.ndtv.com/recipe-bebinca-218328
104,BEEJ KI BARFI,https://food.ndtv.com/recipe-beej-ki-barfee-2-554243
105,BEETROOT HALWA,https://food.ndtv.com/recipe-beetroot-halwa-958414
106,BEETROOT IDLI FRY,https://food.ndtv.com/recipe-beetroot-idli-fry-958470
107,BEETROOT KOFTA CURRY,https://food.ndtv.com/recipe-beetroot-kofta-curry-958599
108,BEETROOT MODAK,https://food.ndtv.com/recipe-beetroot-modak-953934
109,BEETROOT UTTAPAM,https://food.ndtv.com/recipe-beetroot-uttapam-957907
110,BENGALI STYLE CHANA DAL,https://food.ndtv.com/recipe-bengali-style-chana-dal-951166
111,BERRY KANJI,https://food.ndtv.com/recipe-berry-kaanji-952084
112,BESAN KE LADDOO,https://food.ndtv.com/recipe-besan-ke-laddoo-954371
113,BESAN KE LADOO (LADDU),https://food.ndtv.com/recipe-besan-ke-ladoo-laddu-218805
114,BESAN KI BARFI,https://food.ndtv.com/recipe-besan-ki-barfi-100465
115,BHANG GUJIYA,https://food.ndtv.com/recipe-bhang-gujiya-957903
116,BHANG PEDA,https://food.ndtv.com/recipe-bhang-peda-953492
117,BHAPA DOI ,https://food.ndtv.com/recipe-bhapa-doi-958400
118,BHINDI KA SALAN,https://food.ndtv.com/recipe-bhindi-ka-salan-411043
119,BHUNI RAAN,https://food.ndtv.com/recipe-bhuni-raan-558915
120,BIRAIEE ROTI,https://food.ndtv.com/recipe-biraiee-roti-98840
121,BOONDI KE LADOO (LADDU),https://food.ndtv.com/recipe-boondi-ke-ladoo-laddu-218557
122,BREAD DAHI CHAAT,https://food.ndtv.com/recipe-bread-dahi-chaat-955944
123,BREAD MEDU VADA,https://food.ndtv.com/recipe-bread-medu-vada-955935
124,BREAD RASMALAI,https://food.ndtv.com/recipe-bread-rasmalai-154083
125,BREAD UPMA,https://food.ndtv.com/recipe-bread-upma-855072
126,BROWN BASMATI RICE PILAF,https://food.ndtv.com/recipe-brown-basmati-rice-pilaf-294673
127,BUTTER CHICKEN KULCHA,https://food.ndtv.com/recipe-butter-chicken-kulcha-956770
128,BUTTER CHICKEN PASTA,https://food.ndtv.com/recipe-butter-chicken-pasta-956092
129,CABBAGE PORRIYAL,https://food.ndtv.com/recipe-cabbage-porriyal-154080
130,CABBAGE STUFFED PARATHA,https://food.ndtv.com/recipe-cabbage-stuffed-paratha-410884
131,CALICUT CHICKEN BIRYANI,https://food.ndtv.com/recipe-calicut-chicken-biryani-106766
132,CARDAMOM BISCOTTI,https://food.ndtv.com/recipe-cardamom-biscotti-852301
133,CHANA DAL CHIKKI,https://food.ndtv.com/recipe-chana-dal-chikki-956072
134,CHANA DAL PULAO,https://food.ndtv.com/recipe-chana-dal-pulao-956656
135,CHANA DAL VADA,https://food.ndtv.com/recipe-chana-dal-vada-957698
136,CHAPATI,https://food.ndtv.com/recipe-chapati-98855
137,CHAR MINAR BIRYANI,https://food.ndtv.com/recipe-char-minar-biryani-953275
138,CHATPATA PANEER,https://food.ndtv.com/recipe-chatpata-paneer-100467
139,CHAWAL KI KHEER,https://food.ndtv.com/recipe-chawal-ki-kheer-951891
140,CHEESE BAIDA ROTI,https://food.ndtv.com/recipe-cheese-baida-roti-958094
141,CHEESE CHICKEN KEBABS,https://food.ndtv.com/recipe-coriander-cheese-chicken-kebabs-313236
142,CHEESE MYSORE MASALA DOSA,https://food.ndtv.com/recipe-cheese-mysore-masala-dosa-958317
143,CHENNA MURKI,https://food.ndtv.com/recipe-chenna-murki-219638
144,CHETTINAD CHICKEN BIRYANI,https://food.ndtv.com/recipe-chettinad-chicken-biryani-958093
145,CHETTINAD KOZHI (CHICKEN) CURRY,https://food.ndtv.com/recipe-chettinad-kozhi-chicken-curry-841524
146,CHETTINAD MASALA,https://food.ndtv.com/recipe-chettinad-masala-2-567070
147,CHETTINAD PANIYARAM,https://food.ndtv.com/recipe-chettinad-paniyaram-958286
148,CHICKEN 65,https://food.ndtv.com/recipe-chicken-65-dakshin-710123
149,CHICKEN 65,https://food.ndtv.com/recipe-chicken-65-231329
150,CHICKEN BIRYANI WITH COCONUT MILK,https://food.ndtv.com/recipe-chicken-biryani-with-coconut-milk-211697
151,CHICKEN DO PYAAZA,https://food.ndtv.com/recipe-chicken-do-pyaaza-239518
152,CHICKEN DUM BIRYANI,https://food.ndtv.com/recipe-chicken-dum-biryani-310708
153,CHICKEN EGG PARANTHA ROLL,https://food.ndtv.com/recipe-chicken-egg-parantha-roll-958011
154,CHICKEN GILAFI KEBAB,https://food.ndtv.com/recipe-chicken-gilafi-kebab-953625
155,CHICKEN KEEMA IDLI,https://food.ndtv.com/recipe-chicken-keema-idli-955192
156,CHICKEN KONDATTAM,https://food.ndtv.com/recipe-chicken-kondattam-955498
157,CHICKEN KOTHU PAROTTA,https://food.ndtv.com/recipe-chicken-kothu-parotta-958066
158,CHICKEN MASALA,https://food.ndtv.com/recipe-chicken-masala-106782
159,CHICKEN NIMBU DHANIYA SHORBA,https://food.ndtv.com/recipe-chicken-nimbu-dhaniya-shorba-895091
160,CHICKEN ROGAN JOSH,https://food.ndtv.com/recipe-chicken-rogan-josh-240272
161,CHICKEN SALNA,https://food.ndtv.com/recipe-chicken-salna-955254
162,CHICKEN SATAY WITH PEANUT SAUCE,https://food.ndtv.com/recipe-chicken-satay-with-peanut-sauce-98712
163,CHICKEN SHAMI KEBAB,https://food.ndtv.com/recipe-chicken-shami-kebab-951716
164,CHICKEN TIKKA MASALA,https://food.ndtv.com/recipe-chicken-tikka-masala-249661
165,CHICKEN XACUTI,https://food.ndtv.com/recipe-chicken-xacuti-287147
166,CHICKOO LASSI,https://food.ndtv.com/recipe-chickoo-lassi-953921
167,CHICKPEAS TIKKA MASALA,https://food.ndtv.com/recipe-chickpeas-tikka-masala-958453
168,CHILKA ROTI,https://food.ndtv.com/recipe-chilka-roti-958339
169,CHILLI CHEESE GARLIC PARATHA,https://food.ndtv.com/recipe-chilli-cheese-garlic-paratha-958345
170,CHILLI FISH,https://food.ndtv.com/recipe-chilli-fish-410882
171,CHILLI IDLI,https://food.ndtv.com/recipe-chilli-idli-956384
172,CHILLI PAROTTA,https://food.ndtv.com/recipe-chilli-parotta-955271
173,CHINESE IDLI,https://food.ndtv.com/recipe-chinese-idli-955342
